"Popolazione residente al 1° Gennaio 2020 per età sesso e stato civile"
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Valle d'Aosta/Vallée d'Aoste,27,,,,,,,,651,,,,,,,,584
Valle d'Aosta/Vallée d'Aoste,28,,,,,,,,624,,,,,,,,579
Valle d'Aosta/Vallée d'Aoste,29,,,,,,,,627,,,,,,,,648
Valle d'Aosta/Vallée d'Aoste,30,,,,,,,,664,,,,,,,,582
Valle d'Aosta/Vallée d'Aoste,31,,,,,,,,653,,,,,,,,632
Valle d'Aosta/Vallée d'Aoste,32,,,,,,,,617,,,,,,,,630
Valle d'Aosta/Vallée d'Aoste,33,,,,,,,,609,,,,,,,,647
Valle d'Aosta/Vallée d'Aoste,34,,,,,,,,661,,,,,,,,645
Valle d'Aosta/Vallée d'Aoste,35,,,,,,,,665,,,,,,,,653
Valle d'Aosta/Vallée d'Aoste,36,,,,,,,,707,,,,,,,,686
Valle d'Aosta/Vallée d'Aoste,37,,,,,,,,684,,,,,,,,734
Valle d'Aosta/Vallée d'Aoste,38,,,,,,,,660,,,,,,,,677
Valle d'Aosta/Vallée d'Aoste,39,,,,,,,,764,,,,,,,,684
Valle d'Aosta/Vallée d'Aoste,40,,,,,,,,727,,,,,,,,706
Valle d'Aosta/Vallée d'Aoste,41,,,,,,,,888,,,,,,,,830
Valle d'Aosta/Vallée d'Aoste,42,,,,,,,,842,,,,,,,,827
Valle d'Aosta/Vallée d'Aoste,43,,,,,,,,863,,,,,,,,926
Valle d'Aosta/Vallée d'Aoste,44,,,,,,,,898,,,,,,,,950
Valle d'Aosta/Vallée d'Aoste,45,,,,,,,,988,,,,,,,,974
Valle d'Aosta/Vallée d'Aoste,46,,,,,,,,1002,,,,,,,,1011
Valle d'Aosta/Vallée d'Aoste,47,,,,,,,,990,,,,,,,,1035
Valle d'Aosta/Vallée d'Aoste,48,,,,,,,,1021,,,,,,,,1084
Valle d'Aosta/Vallée d'Aoste,49,,,,,,,,1016,,,,,,,,1055
Valle d'Aosta/Vallée d'Aoste,50,,,,,,,,1079,,,,,,,,1118
Valle d'Aosta/Vallée d'Aoste,51,,,,,,,,1041,,,,,,,,1088
Valle d'Aosta/Vallée d'Aoste,52,,,,,,,,1064,,,,,,,,1117
Valle d'Aosta/Vallée d'Aoste,53,,,,,,,,1106,,,,,,,,1104
Valle d'Aosta/Vallée d'Aoste,54,,,,,,,,1059,,,,,,,,1066
Valle d'Aosta/Vallée d'Aoste,55,,,,,,,,1152,,,,,,,,1128
Valle d'Aosta/Vallée d'Aoste,56,,,,,,,,1060,,,,,,,,1021
Valle d'Aosta/Vallée d'Aoste,57,,,,,,,,933,,,,,,,,988
Valle d'Aosta/Vallée d'Aoste,58,,,,,,,,995,,,,,,,,943
Valle d'Aosta/Vallée d'Aoste,59,,,,,,,,849,,,,,,,,917
Valle d'Aosta/Vallée d'Aoste,60,,,,,,,,902,,,,,,,,956
Valle d'Aosta/Vallée d'Aoste,61,,,,,,,,824,,,,,,,,851
Valle d'Aosta/Vallée d'Aoste,62,,,,,,,,814,,,,,,,,851
Valle d'Aosta/Vallée d'Aoste,63,,,,,,,,800,,,,,,,,805
Valle d'Aosta/Vallée d'Aoste,64,,,,,,,,756,,,,,,,,868
Valle d'Aosta/Vallée d'Aoste,65,,,,,,,,769,,,,,,,,830
Valle d'Aosta/Vallée d'Aoste,66,,,,,,,,790,,,,,,,,773
Valle d'Aosta/Vallée d'Aoste,67,,,,,,,,745,,,,,,,,751
Valle d'Aosta/Vallée d'Aoste,68,,,,,,,,736,,,,,,,,778
Valle d'Aosta/Vallée d'Aoste,69,,,,,,,,729,,,,,,,,777
Valle d'Aosta/Vallée d'Aoste,70,,,,,,,,746,,,,,,,,837
Valle d'Aosta/Vallée d'Aoste,71,,,,,,,,758,,,,,,,,837
Valle d'Aosta/Vallée d'Aoste,72,,,,,,,,748,,,,,,,,743
Valle d'Aosta/Vallée d'Aoste,73,,,,,,,,676,,,,,,,,738
Valle d'Aosta/Vallée d'Aoste,74,,,,,,,,489,,,,,,,,592
Valle d'Aosta/Vallée d'Aoste,75,,,,,,,,571,,,,,,,,581
Valle d'Aosta/Vallée d'Aoste,76,,,,,,,,582,,,,,,,,622
Valle d'Aosta/Vallée d'Aoste,77,,,,,,,,556,,,,,,,,633
Valle d'Aosta/Vallée d'Aoste,78,,,,,,,,525,,,,,,,,659
Valle d'Aosta/Vallée d'Aoste,79,,,,,,,,544,,,,,,,,684
Valle d'Aosta/Vallée d'Aoste,80,,,,,,,,478,,,,,,,,638
Valle d'Aosta/Vallée d'Aoste,81,,,,,,,,480,,,,,,,,643
Valle d'Aosta/Vallée d'Aoste,82,,,,,,,,396,,,,,,,,578
Valle d'Aosta/Vallée d'Aoste,83,,,,,,,,341,,,,,,,,512
Valle d'Aosta/Vallée d'Aoste,84,,,,,,,,299,,,,,,,,465
Valle d'Aosta/Vallée d'Aoste,85,,,,,,,,243,,,,,,,,441
Valle d'Aosta/Vallée d'Aoste,86,,,,,,,,238,,,,,,,,438
Valle d'Aosta/Vallée d'Aoste,87,,,,,,,,192,,,,,,,,384
Valle d'Aosta/Vallée d'Aoste,88,,,,,,,,176,,,,,,,,359
Valle d'Aosta/Vallée d'Aoste,89,,,,,,,,161,,,,,,,,358
Valle d'Aosta/Vallée d'Aoste,90,,,,,,,,136,,,,,,,,275
Valle d'Aosta/Vallée d'Aoste,91,,,,,,,,97,,,,,,,,250
Valle d'Aosta/Vallée d'Aoste,92,,,,,,,,63,,,,,,,,206
Valle d'Aosta/Vallée d'Aoste,93,,,,,,,,50,,,,,,,,165
Valle d'Aosta/Vallée d'Aoste,94,,,,,,,,49,,,,,,,,117
Valle d'Aosta/Vallée d'Aoste,95,,,,,,,,20,,,,,,,,82
Valle d'Aosta/Vallée d'Aoste,96,,,,,,,,16,,,,,,,,73
Valle d'Aosta/Vallée d'Aoste,97,,,,,,,,12,,,,,,,,51
Valle d'Aosta/Vallée d'Aoste,98,,,,,,,,5,,,,,,,,44
Valle d'Aosta/Vallée d'Aoste,99,,,,,,,,4,,,,,,,,25
Valle d'Aosta/Vallée d'Aoste,100,,,,,,,,6,,,,,,,,24
Valle d'Aosta/Vallée d'Aoste,Totale,,,,,,,,61325,,,,,,,,64176
Lombardia,0,,,,,,,,37306,,,,,,,,35709
Lombardia,1,,,,,,,,39531,,,,,,,,37346
Lombardia,2,,,,,,,,41503,,,,,,,,39041
Lombardia,3,,,,,,,,42563,,,,,,,,40717
Lombardia,4,,,,,,,,44396,,,,,,,,41744
Lombardia,5,,,,,,,,45228,,,,,,,,43032
Lombardia,6,,,,,,,,46352,,,,,,,,43492
Lombardia,7,,,,,,,,47897,,,,,,,,45170
Lombardia,8,,,,,,,,48966,,,,,,,,46017
Lombardia,9,,,,,,,,50603,,,,,,,,47050
Lombardia,10,,,,,,,,51288,,,,,,,,48385
Lombardia,11,,,,,,,,51312,,,,,,,,48400
Lombardia,12,,,,,,,,50779,,,,,,,,47708
Lombardia,13,,,,,,,,51097,,,,,,,,47783
Lombardia,14,,,,,,,,49915,,,,,,,,46638
Lombardia,15,,,,,,,,49635,,,,,,,,47283
Lombardia,16,,,,,,,,49118,,,,,,,,45725
Lombardia,17,,,,,,,,48468,,,,,,,,45138
Lombardia,18,,,,,,,,49331,,,,,,,,45778
Lombardia,19,,,,,,,,50828,,,,,,,,46416
Lombardia,20,,,,,,,,50713,,,,,,,,45851
Lombardia,21,,,,,,,,51746,,,,,,,,45679
Lombardia,22,,,,,,,,51074,,,,,,,,45944
Lombardia,23,,,,,,,,50530,,,,,,,,46067
Lombardia,24,,,,,,,,49849,,,,,,,,46055
Lombardia,25,,,,,,,,50151,,,,,,,,47084
Lombardia,26,,,,,,,,50930,,,,,,,,48454
Lombardia,27,,,,,,,,52878,,,,,,,,50393
Lombardia,28,,,,,,,,53248,,,,,,,,51248
Lombardia,29,,,,,,,,54803,,,,,,,,52951
Lombardia,30,,,,,,,,54912,,,,,,,,53840
Lombardia,31,,,,,,,,57127,,,,,,,,55007
Lombardia,32,,,,,,,,55861,,,,,,,,54590
Lombardia,33,,,,,,,,56418,,,,,,,,55107
Lombardia,34,,,,,,,,58092,,,,,,,,57137
Lombardia,35,,,,,,,,59792,,,,,,,,58191
Lombardia,36,,,,,,,,61005,,,,,,,,60014
Lombardia,37,,,,,,,,63499,,,,,,,,62154
Lombardia,38,,,,,,,,64042,,,,,,,,62517
Lombardia,39,,,,,,,,65287,,,,,,,,63860
Lombardia,40,,,,,,,,66936,,,,,,,,65386
Lombardia,41,,,,,,,,70846,,,,,,,,68844
Lombardia,42,,,,,,,,73826,,,,,,,,71743
Lombardia,43,,,,,,,,76568,,,,,,,,74502
Lombardia,44,,,,,,,,81364,,,,,,,,79434
Lombardia,45,,,,,,,,84057,,,,,,,,81544
Lombardia,46,,,,,,,,83438,,,,,,,,81949
Lombardia,47,,,,,,,,84506,,,,,,,,82241
Lombardia,48,,,,,,,,84877,,,,,,,,81985
Lombardia,49,,,,,,,,83695,,,,,,,,81703
Lombardia,50,,,,,,,,85380,,,,,,,,84073
Lombardia,51,,,,,,,,85119,,,,,,,,83413
Lombardia,52,,,,,,,,84261,,,,,,,,83588
Lombardia,53,,,,,,,,86006,,,,,,,,84736
Lombardia,54,,,,,,,,84917,,,,,,,,84367
Lombardia,55,,,,,,,,84243,,,,,,,,83727
Lombardia,56,,,,,,,,77865,,,,,,,,79025
Lombardia,57,,,,,,,,73550,,,,,,,,75231
Lombardia,58,,,,,,,,70943,,,,,,,,73104
Lombardia,59,,,,,,,,68153,,,,,,,,70745
Lombardia,60,,,,,,,,65636,,,,,,,,69129
Lombardia,61,,,,,,,,62528,,,,,,,,65664
Lombardia,62,,,,,,,,60936,,,,,,,,64489
Lombardia,63,,,,,,,,59684,,,,,,,,63410
Lombardia,64,,,,,,,,56999,,,,,,,,62289
Lombardia,65,,,,,,,,55891,,,,,,,,60605
Lombardia,66,,,,,,,,53906,,,,,,,,58387
Lombardia,67,,,,,,,,53130,,,,,,,,58449
Lombardia,68,,,,,,,,52031,,,,,,,,58080
Lombardia,69,,,,,,,,54126,,,,,,,,60096
Lombardia,70,,,,,,,,54171,,,,,,,,60651
Lombardia,71,,,,,,,,55464,,,,,,,,62745
Lombardia,72,,,,,,,,53236,,,,,,,,60648
Lombardia,73,,,,,,,,53976,,,,,,,,62334
Lombardia,74,,,,,,,,39209,,,,,,,,45815
Lombardia,75,,,,,,,,40888,,,,,,,,49174
Lombardia,76,,,,,,,,39524,,,,,,,,48515
Lombardia,77,,,,,,,,39427,,,,,,,,49177
Lombardia,78,,,,,,,,39047,,,,,,,,50130
Lombardia,79,,,,,,,,41594,,,,,,,,53523
Lombardia,80,,,,,,,,39327,,,,,,,,51679
Lombardia,81,,,,,,,,36240,,,,,,,,49478
Lombardia,82,,,,,,,,30832,,,,,,,,43696
Lombardia,83,,,,,,,,26259,,,,,,,,39109
Lombardia,84,,,,,,,,24874,,,,,,,,38908
Lombardia,85,,,,,,,,21326,,,,,,,,35393
Lombardia,86,,,,,,,,18256,,,,,,,,32435
Lombardia,87,,,,,,,,15923,,,,,,,,29869
Lombardia,88,,,,,,,,13523,,,,,,,,27061
Lombardia,89,,,,,,,,11416,,,,,,,,24836
Lombardia,90,,,,,,,,8653,,,,,,,,20695
Lombardia,91,,,,,,,,6668,,,,,,,,17391
